,repository_name,language
0,app-store-server-library-java,Java
1,app-store-server-library-node,TypeScript
2,app-store-server-library-python,Python
3,app-store-server-library-swift,Swift
4,apple-llvm-infrastructure-tools,C++
5,apple_rules_lint,Starlark
6,ARKitScenes,Python
7,AudioUnit-Examples,Swift
8,AudioUnitSDK,C++
9,axlearn,Python
10,batch-processing-gateway,Java
11,ccs-caldavclientlibrary,HTML
12,ccs-caldavtester,Python
13,ccs-calendarserver,Python
14,ccs-pycalendar,Python
15,ccs-pykerberos,C
16,ccs-pyopendirectory,C++
17,ccs-pyosxframeworks,Python
18,ccs-pysecuretransport,Python
19,ccs-twistedextensions,Python
20,coremltools,Python
21,cups,C
22,darwin-libplatform,C
23,darwin-libpthread,C
24,darwin-xnu,C
25,device-management,
26,dnikit,Python
27,example-package-dealer,Swift
28,example-package-deckofplayingcards,Swift
29,example-package-figlet,Swift
30,example-package-fisheryates,Swift
31,example-package-playingcard,Swift
32,FHIRModels,Swift
33,foundationdb,C++
34,fstools,C
35,game-center-tools,Python
36,GCGC,Jupyter Notebook
37,homebrew-apple,Ruby
38,HomeKitADK,C
39,indexstore-db,C++
40,learning-compressible-subspaces,Python
41,learning-subspaces,Python
42,llvm-monorepo-root,
43,llvm-project,
44,llvm-project-v5,C++
45,llvm-project-v5-split,C++
46,MaterialX,
47,ml-afv,Python
48,ml-aim,Python
49,ml-all-pairs,Python
50,ml-ane-transformers,Python
51,ml-aspanformer,Python
52,ml-autofocusformer,Python
53,ml-autofocusformer-segmentation,Python
54,ml-batchquant,Python
55,ml-behavioral-testing-for-mt,
56,ml-calibration,Jupyter Notebook
57,ml-capsules-inverted-attention-routing,Python
58,ml-cifar-10-faster,Python
59,ml-code-switched-speech-translation,Python
60,ml-codeswitching-translations,
61,ml-collegial-ensembles,Python
62,ml-core,Python
63,ml-covid-mobility,R
64,ml-cread,Python
65,ml-cvnets,Python
66,ml-cvpr2019-swd,Python
67,ml-dab,Python
68,ml-data-parameters,Python
69,ml-delphi,
70,ml-destseg,Python
71,ml-dms-dataset,Python
72,ml-dprecs,Jupyter Notebook
73,ml-dr,Python
74,ml-duet,Python
75,ml-entropy-reconstruction,Python
76,ml-envmapnet,Python
77,ml-equivariant-neural-rendering,Jupyter Notebook
78,ml-facelit,Python
79,ml-fastvit,Python
80,ml-fct,Python
81,ml-ferret,Python
82,ml-finerecon,Python
83,ml-flair,Jupyter Notebook
84,ml-gaudi,
85,ml-gmpi,Python
86,ml-gsn,Python
87,ml-heart-rate-models,Python
88,ml-hierarchical-confusion-matrix,TypeScript
89,ml-hypersim,Python
90,ml-interspeech2022-phi_rtn,
91,ml-kge,Python
92,ml-knowledge-conflicts,Python
93,ml-live-pose,
94,ml-mkqa,Python
95,ml-mobileone,Swift
96,ml-multiple-futures-prediction,Python
97,ml-ncg,Python
98,ml-neilf,Python
99,ml-neilfpp,Python
100,ml-neuman,Python
101,ml-no-token-left-behind,Jupyter Notebook
102,ml-nvas3d,Python
103,ml-pointconvformer,Python
104,ml-pointersect,Python
105,ml-probabilistic-attention,Python
106,ml-projunit,Python
107,ml-qrecc,Python
108,ml-quant,Python
109,ml-reed,Python
110,ml-robust-expert-augmentations,Python
111,ml-sad,Python
112,ml-selfcond,Python
113,ml-shuffling-amplification,Python
114,ml-sigma-reparam,Python
115,ml-spatial-librispeech,
116,ml-spin,Python
117,ml-stable-diffusion,Python
118,ml-stuttering-events-dataset,Python
119,ml-symphony,Svelte
120,ml-tic-clip,
121,ml-tract,Python
122,ml-transcript-translation-consistency-ratings,
123,ml-translate-vis,TypeScript
124,ml-tree-dst,Python
125,ml-tune-mode-convbn,Python
126,ml-upscale,Jupyter Notebook
127,ml-uwac,Python
128,ml-vfi-smiff,Python
129,ml-vision-transformers-ane,Python
130,openjdk,Java
131,password-manager-resources,JavaScript
132,sample-backyard-birds,Swift
133,sample-cloudkit-coredatasync,Swift
134,sample-cloudkit-encryption,Swift
135,sample-cloudkit-privatedb,Swift
136,sample-cloudkit-privatedb-sync,Swift
137,sample-cloudkit-queries,Swift
138,sample-cloudkit-sharing,Swift
139,sample-cloudkit-sync-engine,Swift
140,sample-cloudkit-tooling,JavaScript
141,sample-cloudkit-zonesharing,Swift
142,sample-food-truck,Swift
143,servicetalk,Java
144,sourcekit-lsp,Swift
145,swift,C++
146,swift-3-api-guidelines-review,Swift
147,swift-algorithms,Swift
148,swift-aoc-starter-example,Swift
149,swift-argument-parser,Swift
150,swift-asn1,Swift
151,swift-async-algorithms,Swift
152,swift-async-dns-resolver,Swift
153,swift-atomics,Swift
154,swift-book,Markdown
155,swift-cassandra-client,Swift
156,swift-certificates,Swift
157,swift-clang,C++
158,swift-clang-tools-extra,C++
159,swift-cluster-membership,Swift
160,swift-cmake-examples,CMake
161,swift-cmark,C
162,swift-collections,Swift
163,swift-collections-benchmark,Swift
164,swift-community-hosted-continuous-integration,
165,swift-compiler-rt,C
166,swift-corelibs-foundation,Swift
167,swift-corelibs-libdispatch,C
168,swift-corelibs-xctest,Swift
169,swift-crypto,C
170,swift-distributed-actors,Swift
171,swift-distributed-tracing,Swift
172,swift-distributed-tracing-baggage-core,Swift
173,swift-distributed-tracing-extras,Swift
174,swift-docc,Swift
175,swift-docc-plugin,Swift
176,swift-docc-render,JavaScript
177,swift-docc-render-artifact,
178,swift-docc-symbolkit,Swift
179,swift-docker,Dockerfile
180,swift-driver,Swift
181,swift-evolution,Markdown
182,swift-evolution-staging,Swift
183,swift-experimental-string-processing,Swift
184,swift-format,Swift
185,swift-foundation,Swift
186,swift-foundation-icu,C
187,swift-getting-started-cli,Swift
188,swift-getting-started-package-library,Swift
189,swift-http-structured-headers,Swift
190,swift-http-types,Swift
191,swift-installer-scripts,CMake
192,swift-integration-tests,Python
193,swift-internals,HTML
194,swift-issues,
195,swift-libcxx,C++
196,swift-llbuild,C++
197,swift-llbuild2,Swift
198,swift-lldb,C++
199,swift-llvm,LLVM
200,swift-llvm-bindings,Swift
201,swift-lmdb,C
202,swift-log,Swift
203,swift-markdown,Swift
204,swift-metrics,Swift
205,swift-metrics-extras,Swift
206,swift-mmio,Swift
207,swift-nio,Swift
208,swift-nio-examples,Swift
209,swift-nio-extras,Swift
210,swift-nio-http2,Swift
211,swift-nio-imap,Swift
212,swift-nio-nghttp2-support,Swift
213,swift-nio-ssh,Swift
214,swift-nio-ssl,C
215,swift-nio-ssl-support,Swift
216,swift-nio-transport-services,Swift
217,swift-nio-zlib-support,Swift
218,swift-numerics,Swift
219,swift-openapi-generator,Swift
220,swift-openapi-runtime,Swift
221,swift-openapi-urlsession,Swift
222,swift-org-website,SCSS
223,swift-package-collection-generator,Swift
224,swift-package-manager,Swift
225,swift-package-registry-compatibility-test-suite,Swift
226,swift-protobuf,Swift
227,swift-protobuf-plugin,
228,swift-protobuf-test-conformance,
229,swift-sample-distributed-actors-transport,Swift
230,swift-sdk-generator,Swift
231,swift-se0270-range-set,Swift
232,swift-se0288-is-power,Swift
233,swift-service-context,Swift
234,swift-service-discovery,Swift
235,swift-source-compat-suite,Python
236,swift-standard-library-preview,Swift
237,swift-statsd-client,Swift
238,swift-stress-tester,Swift
239,swift-syntax,Swift
